soil type;rootzone thickness (cm);groundwater level (meter below surface);root zone soil moisture storage in equilibrium conditions (mm);potential capillary rise (mm/day);storage coefficient (m/m)
22;40;1.2;214.2;1.576;0.1
22;40;1.3;211.9;1.298;0.11
22;40;1.4;209.7;1.086;0.119
22;40;1.5;207.7;0.921;0.127
22;40;1.6;205.8;0.791;0.135
22;40;1.7;204;0.685;0.143
22;40;1.8;202.3;0.599;0.15
22;40;1.9;200.7;0.528;0.156
22;40;2;199.2;0.468;0.163
22;40;2.1;197.7;0.417;0.169
22;40;2.2;196.3;0.374;0.174
22;40;2.3;195;0.337;0.18
22;40;2.4;193.8;0.304;0.185
22;40;2.5;192.6;0.276;0.19
22;40;3;187.2;0.178;0.212
22;40;4;179;0.087;0.246
22;40;5;172.7;0.048;0.271
22;40;10;154.7;0.003;0.339
22;50;0;318.8;5;0.01
22;50;0.1;318.2;5;0.01
22;50;0.2;316.4;5;0.01
22;50;0.3;313.5;5;0.01
22;50;0.4;309.6;5;0.01
22;50;0.5;304.8;5;0.01
22;50;0.6;299.6;5;0.017
22;50;0.7;294.6;5;0.03
22;50;0.8;289.9;5;0.043
22;50;0.9;285.5;4.573;0.056
22;50;1;281.3;3.292;0.068
22;50;1.1;277.5;2.492;0.08
22;50;1.2;274;1.956;0.09
22;50;1.3;270.6;1.576;0.1
22;50;1.4;267.5;1.298;0.11
22;50;1.5;264.6;1.086;0.119
22;50;1.6;261.9;0.921;0.127
22;50;1.7;259.3;0.791;0.135
22;50;1.8;256.8;0.685;0.143
22;50;1.9;254.5;0.599;0.15
22;50;2;252.3;0.528;0.156
22;50;2.1;250.3;0.468;0.163
22;50;2.2;248.3;0.417;0.169
22;50;2.3;246.4;0.374;0.174
22;50;2.4;244.6;0.337;0.18
22;50;2.5;242.9;0.304;0.185
22;50;3;235.2;0.193;0.208
22;50;4;223.5;0.093;0.243
22;50;5;214.6;0.051;0.269
22;50;10;189.6;0.003;0.338
22;60;0;387.6;5;0.01
22;60;0.1;387;5;0.01
22;60;0.2;385.2;5;0.01
22;60;0.3;382.3;5;0.01
22;60;0.4;378.4;5;0.01
22;60;0.5;373.6;5;0.01
22;60;0.6;367.9;5;0.01
22;60;0.7;361.7;5;0.017
22;60;0.8;355.7;5;0.03
22;60;0.9;349.9;5;0.043
22;60;1;344.5;4.573;0.056
22;60;1.1;339.5;3.292;0.068
22;60;1.2;334.8;2.492;0.08
22;60;1.3;330.4;1.956;0.09
22;60;1.4;326.3;1.576;0.1
22;60;1.5;322.4;1.298;0.11
22;60;1.6;318.8;1.086;0.119
22;60;1.7;315.4;0.921;0.127
22;60;1.8;312.1;0.791;0.135
22;60;1.9;309.1;0.685;0.143
22;60;2;306.2;0.599;0.15
22;60;2.1;303.4;0.528;0.156
22;60;2.2;300.8;0.468;0.163
22;60;2.3;298.3;0.417;0.169
22;60;2.4;295.9;0.374;0.174
22;60;2.5;293.7;0.337;0.18
22;60;3;283.6;0.211;0.204
22;60;4;268.3;0.099;0.24
22;60;5;256.8;0.054;0.266
22;60;10;224.6;0.004;0.337
22;70;0;456.4;5;0.01
22;70;0.1;455.8;5;0.01
22;70;0.2;454;5;0.01
22;70;0.3;451.1;5;0.01
22;70;0.4;447.2;5;0.01
22;70;0.5;442.4;5;0.01
22;70;0.6;436.7;5;0.01
22;70;0.7;430;5;0.01
22;70;0.8;422.8;5;0.017
22;70;0.9;415.7;5;0.03
22;70;1;409;5;0.043
22;70;1.1;402.7;4.573;0.056
22;70;1.2;396.8;3.292;0.068
22;70;1.3;391.2;2.492;0.08
22;70;1.4;386;1.956;0.09
22;70;1.5;381.2;1.576;0.1
22;70;1.6;376.6;1.298;0.11
22;70;1.7;372.3;1.086;0.119
22;70;1.8;368.2;0.921;0.127
22;70;1.9;364.4;0.791;0.135
22;70;2;360.7;0.685;0.143
22;70;2.1;357.3;0.599;0.15
22;70;2.2;354;0.528;0.156
22;70;2.3;350.9;0.468;0.163
22;70;2.4;347.9;0.417;0.169
22;70;2.5;345;0.374;0.174
22;70;3;332.5;0.23;0.199
22;70;4;313.4;0.106;0.237
22;70;5;299.2;0.057;0.264
22;70;10;259.7;0.004;0.336
22;80;0;525.2;5;0.01
22;80;0.1;524.6;5;0.01
22;80;0.2;522.8;5;0.01
22;80;0.3;519.9;5;0.01
22;80;0.4;516;5;0.01
22;80;0.5;511.2;5;0.01
22;80;0.6;505.5;5;0.01
22;80;0.7;498.8;5;0.01
22;80;0.8;491;5;0.01
22;80;0.9;482.9;5;0.017
22;80;1;474.8;5;0.03
22;80;1.1;467.2;5;0.043
22;80;1.2;460;4.573;0.056
22;80;1.3;453.2;3.292;0.068
22;80;1.4;446.9;2.492;0.08
22;80;1.5;440.9;1.956;0.09
22;80;1.6;435.3;1.576;0.1
22;80;1.7;430.1;1.298;0.11
22;80;1.8;425.1;1.086;0.119
22;80;1.9;420.4;0.921;0.127
22;80;2;416;0.791;0.135
22;80;2.1;411.8;0.685;0.143
22;80;2.2;407.8;0.599;0.15
22;80;2.3;404;0.528;0.156
22;80;2.4;400.4;0.468;0.163
22;80;2.5;397;0.417;0.169
22;80;3;381.8;0.251;0.195
22;80;4;358.8;0.114;0.234
22;80;5;341.9;0.06;0.262
22;80;10;294.9;0.004;0.335
22;90;0;594;5;0.01
22;90;0.1;593.4;5;0.01
22;90;0.2;591.6;5;0.01
22;90;0.3;588.7;5;0.01
22;90;0.4;584.8;5;0.01
22;90;0.5;580;5;0.01
22;90;0.6;574.3;5;0.01
22;90;0.7;567.6;5;0.01
22;90;0.8;559.8;5;0.01
22;90;0.9;551.1;5;0.01
22;90;1;541.9;5;0.017
22;90;1.1;533;5;0.03
22;90;1.2;524.5;5;0.043
22;90;1.3;516.4;4.573;0.056
22;90;1.4;508.9;3.292;0.068
22;90;1.5;501.8;2.492;0.08
22;90;1.6;495.1;1.956;0.09
22;90;1.7;488.8;1.576;0.1
22;90;1.8;482.9;1.298;0.11
22;90;1.9;477.3;1.086;0.119
22;90;2;472.1;0.921;0.127
22;90;2.1;467.1;0.791;0.135
22;90;2.2;462.3;0.685;0.143
22;90;2.3;457.8;0.599;0.15
22;90;2.4;453.6;0.528;0.156
22;90;2.5;449.5;0.468;0.163
22;90;3;431.6;0.276;0.19
22;90;4;404.5;0.122;0.23
22;90;5;384.7;0.064;0.259
22;90;10;330.2;0.004;0.334
22;100;0;662.8;5;0.01
22;100;0.1;662.2;5;0.01
22;100;0.2;660.4;5;0.01
22;100;0.3;657.5;5;0.01
22;100;0.4;653.6;5;0.01
22;100;0.5;648.8;5;0.01
22;100;0.6;643.1;5;0.01
22;100;0.7;636.4;5;0.01
22;100;0.8;628.6;5;0.01
22;100;0.9;619.9;5;0.01
22;100;1;610.2;5;0.01
22;100;1.1;600.1;5;0.017
22;100;1.2;590.3;5;0.03
22;100;1.3;580.9;5;0.043
22;100;1.4;572.1;4.573;0.056
22;100;1.5;563.8;3.292;0.068
22;100;1.6;555.9;2.492;0.08
22;100;1.7;548.6;1.956;0.09
22;100;1.8;541.7;1.576;0.1
22;100;1.9;535.1;1.298;0.11
22;100;2;529;1.086;0.119
22;100;2.1;523.2;0.921;0.127
22;100;2.2;517.6;0.791;0.135
22;100;2.3;512.4;0.685;0.143
22;100;2.4;507.4;0.599;0.15
22;100;2.5;502.6;0.528;0.156
22;100;3;481.9;0.304;0.185
22;100;4;450.6;0.131;0.227
22;100;5;427.9;0.068;0.257
22;100;10;365.6;0.005;0.333
23;10;0;58.4;5;0.01
23;10;0.1;57.9;5;0.01
23;10;0.2;56.8;5;0.016
23;10;0.3;55.5;5;0.03
23;10;0.4;54.2;5;0.043
23;10;0.5;52.9;5;0.058
23;10;0.6;51.7;4.044;0.068
23;10;0.7;50.5;2.893;0.079
23;10;0.8;49.5;2.206;0.088
23;10;0.9;48.4;1.813;0.101
23;10;1;47.5;1.538;0.128
23;10;1.1;46.6;1.328;0.141
23;10;1.2;45.8;1.161;0.16
23;10;1.3;45;1.024;0.179
23;10;1.4;44.3;0.909;0.194
23;10;1.5;43.6;0.809;0.206
23;10;1.6;43;0.721;0.216
23;10;1.7;42.3;0.642;0.22
23;10;1.8;41.8;0.569;0.232
23;10;1.9;41.2;0.502;0.238
23;10;2;40.7;0.439;0.244
23;10;2.1;40.2;0.38;0.248
23;10;2.2;39.7;0.325;0.252
23;10;2.3;39.3;0.275;0.255
23;10;2.4;38.8;0.231;0.258
23;10;2.5;38.4;0.193;0.26
23;10;3;36.6;0.079;0.269
23;10;4;33.7;0.019;0.278
23;10;5;31.6;0.007;0.283
23;10;10;25.8;0;0.289
23;20;0;116.8;5;0.01
23;20;0.1;116.3;5;0.01
23;20;0.2;114.7;5;0.01
23;20;0.3;112.3;5;0.017
23;20;0.4;109.7;5;0.03
23;20;0.5;107.1;5;0.044
23;20;0.6;104.6;4.791;0.056
23;20;0.7;102.2;3.381;0.068
23;20;0.8;100;2.559;0.077
23;20;0.9;97.9;2.103;0.091
23;20;1;95.9;1.787;0.118
23;20;1.1;94.1;1.546;0.133
23;20;1.2;92.4;1.353;0.153
23;20;1.3;90.8;1.195;0.171
23;20;1.4;89.3;1.061;0.186
23;20;1.5;87.9;0.945;0.199
23;20;1.6;86.6;0.841;0.21
23;20;1.7;85.3;0.746;0.215
23;20;1.8;84.1;0.658;0.227
23;20;1.9;83;0.575;0.233
23;20;2;81.9;0.498;0.238
23;20;2.1;80.9;0.424;0.243
23;20;2.2;79.9;0.357;0.247
23;20;2.3;79;0.297;0.251
23;20;2.4;78.1;0.246;0.254
23;20;2.5;77.2;0.203;0.256
23;20;3;73.5;0.081;0.266
23;20;4;67.7;0.019;0.276
23;20;5;63.5;0.007;0.281
23;20;10;51.7;0;0.288
23;30;0;180.4;5;0.01
23;30;0.1;179.9;5;0.01
23;30;0.2;178.3;5;0.01
23;30;0.3;175.4;5;0.01
23;30;0.4;171.6;5;0.017
23;30;0.5;167.7;5;0.03
23;30;0.6;163.9;5;0.043
23;30;0.7;160.3;4.573;0.056
23;30;0.8;156.8;3.348;0.066
23;30;0.9;153.6;2.724;0.08
23;30;1;150.6;2.302;0.107
23;30;1.1;147.7;1.982;0.123
23;30;1.2;145.1;1.729;0.144
23;30;1.3;142.6;1.521;0.163
23;30;1.4;140.3;1.344;0.179
23;30;1.5;138.1;1.189;0.192
23;30;1.6;136;1.049;0.203
23;30;1.7;134;0.92;0.209
23;30;1.8;132.2;0.799;0.22
23;30;1.9;130.4;0.685;0.227
23;30;2;128.7;0.578;0.233
23;30;2.1;127.2;0.48;0.238
23;30;2.2;125.7;0.393;0.242
23;30;2.3;124.2;0.319;0.246
23;30;2.4;122.8;0.259;0.249
23;30;2.5;121.5;0.211;0.252
23;30;3;115.7;0.082;0.262
23;30;4;106.8;0.019;0.273
23;30;5;100.2;0.007;0.279
23;30;10;82.1;0;0.288
23;40;0;249.2;5;0.01
23;40;0.1;248.7;5;0.01
23;40;0.2;247.1;5;0.01
23;40;0.3;244.2;5;0.01
23;40;0.4;239.9;5;0.01
23;40;0.5;234.8;5;0.017
23;40;0.6;229.7;5;0.03
23;40;0.7;224.7;5;0.043
23;40;0.8;220;4.7;0.053
23;40;0.9;215.6;3.749;0.069
23;40;1;211.4;3.132;0.095
23;40;1.1;207.5;2.673;0.113
23;40;1.2;203.8;2.312;0.135
23;40;1.3;200.4;2.016;0.154
23;40;1.4;197.2;1.764;0.17
23;40;1.5;194.1;1.541;0.184
23;40;1.6;191.3;1.338;0.196
23;40;1.7;188.6;1.15;0.203
23;40;1.8;186;0.972;0.214
23;40;1.9;183.6;0.808;0.221
23;40;2;181.3;0.658;0.227
23;40;2.1;179.1;0.528;0.232
23;40;2.2;177;0.421;0.236
23;40;2.3;175;0.336;0.24
23;40;2.4;173.1;0.269;0.244
23;40;2.5;171.3;0.217;0.247
23;40;3;163.3;0.083;0.258
23;40;4;151;0.02;0.27
23;40;5;142;0.007;0.277
23;40;10;116.9;0;0.287
23;50;0;318;5;0.01
23;50;0.1;317.5;5;0.01
23;50;0.2;315.9;5;0.01
23;50;0.3;313;5;0.01
23;50;0.4;308.7;5;0.01
23;50;0.5;303.1;5;0.01
23;50;0.6;296.8;5;0.017
23;50;0.7;290.5;5;0.03
23;50;0.8;284.5;5;0.041
23;50;0.9;278.8;5;0.056
23;50;1;273.4;4.631;0.082
23;50;1.1;268.3;3.907;0.103
23;50;1.2;263.6;3.341;0.125
23;50;1.3;259.2;2.876;0.145
23;50;1.4;255;2.475;0.161
23;50;1.5;251;2.116;0.176
23;50;1.6;247.3;1.783;0.188
23;50;1.7;243.8;1.474;0.196
23;50;1.8;240.5;1.191;0.207
23;50;1.9;237.4;0.94;0.214
23;50;2;234.4;0.733;0.22
23;50;2.1;231.6;0.569;0.226
23;50;2.2;228.9;0.443;0.231
23;50;2.3;226.4;0.348;0.235
23;50;2.4;223.9;0.276;0.239
23;50;2.5;221.6;0.221;0.242
23;50;3;211.3;0.083;0.254
23;50;4;195.5;0.02;0.268
23;50;5;183.9;0.007;0.274
23;50;10;151.8;0;0.286
23;60;0;386.8;5;0.01
23;60;0.1;386.3;5;0.01
23;60;0.2;384.7;5;0.01
23;60;0.3;381.8;5;0.01
23;60;0.4;377.5;5;0.01
23;60;0.5;371.9;5;0.01
23;60;0.6;365.1;5;0.01
23;60;0.7;357.6;5;0.017
23;60;0.8;350.3;5;0.027
23;60;0.9;343.3;5;0.044
23;60;1;336.6;5;0.069
23;60;1.1;330.3;5;0.091
23;60;1.2;324.4;5;0.114
23;60;1.3;318.9;4.692;0.135
23;60;1.4;313.7;3.888;0.152
23;60;1.5;308.9;3.148;0.167
23;60;1.6;304.3;2.471;0.179
23;60;1.7;299.9;1.882;0.189
23;60;1.8;295.8;1.406;0.199
23;60;1.9;291.9;1.047;0.207
23;60;2;288.3;0.785;0.214
23;60;2.1;284.8;0.595;0.22
23;60;2.2;281.5;0.457;0.225
23;60;2.3;278.3;0.356;0.229
23;60;2.4;275.3;0.281;0.233
23;60;2.5;272.4;0.224;0.237
23;60;3;259.7;0.084;0.25
23;60;4;240.3;0.02;0.265
23;60;5;226.1;0.007;0.272
23;60;10;186.8;0;0.285
23;70;0;455.6;5;0.01
23;70;0.1;455.1;5;0.01
23;70;0.2;453.5;5;0.01
23;70;0.3;450.6;5;0.01
23;70;0.4;446.3;5;0.01
23;70;0.5;440.7;5;0.01
23;70;0.6;433.9;5;0.01
23;70;0.7;425.9;5;0.01
23;70;0.8;417.4;5;0.014
23;70;0.9;409.1;5;0.03
23;70;1;401.1;5;0.055
23;70;1.1;393.5;5;0.079
23;70;1.2;386.4;5;0.103
23;70;1.3;379.8;5;0.124
23;70;1.4;373.5;5;0.142
23;70;1.5;367.6;4.556;0.157
23;70;1.6;362.1;3.094;0.171
23;70;1.7;356.8;2.142;0.181
23;70;1.8;351.9;1.516;0.191
23;70;1.9;347.2;1.097;0.2
23;70;2;342.8;0.809;0.207
23;70;2.1;338.6;0.608;0.213
23;70;2.2;334.6;0.465;0.218
23;70;2.3;330.8;0.361;0.223
23;70;2.4;327.2;0.284;0.228
23;70;2.5;323.7;0.226;0.231
23;70;3;308.5;0.085;0.246
23;70;4;285.4;0.02;0.261
23;70;5;268.5;0.007;0.27
23;70;10;221.9;0;0.284
23;80;0;505.2;5;0.01
23;80;0.1;504.7;5;0.01
23;80;0.2;503.1;5;0.01
23;80;0.3;500.2;5;0.01
23;80;0.4;495.9;5;0.01
23;80;0.5;490.3;5;0.01
23;80;0.6;483.5;5;0.01
23;80;0.7;475.5;5;0.01
23;80;0.8;466.5;5;0.01
23;80;0.9;457.1;5;0.014
23;80;1;447.6;5;0.035
23;80;1.1;438.1;5;0.06
23;80;1.2;429.1;5;0.085
23;80;1.3;420.7;5;0.108
23;80;1.4;412.8;5;0.128
23;80;1.5;405.5;5;0.145
23;80;1.6;398.7;3.852;0.159
23;80;1.7;392.4;2.61;0.172
23;80;1.8;386.4;1.817;0.182
23;80;1.9;380.9;1.297;0.192
23;80;2;375.7;0.946;0.199
23;80;2.1;370.8;0.704;0.206
23;80;2.2;366.1;0.533;0.212
23;80;2.3;361.7;0.411;0.218
23;80;2.4;357.5;0.321;0.222
23;80;2.5;353.6;0.254;0.227
23;80;3;336.3;0.093;0.242
23;80;4;310.4;0.021;0.259
23;80;5;291.6;0.007;0.268
23;80;10;240.6;0;0.283
23;90;0;535.6;5;0.01
23;90;0.1;535.1;5;0.01
23;90;0.2;533.5;5;0.01
23;90;0.3;530.6;5;0.01
23;90;0.4;526.3;5;0.01
23;90;0.5;520.7;5;0.01
23;90;0.6;513.9;5;0.01
23;90;0.7;505.9;5;0.01
23;90;0.8;496.9;5;0.01
23;90;0.9;487.1;5;0.01
23;90;1;476.5;5;0.014
23;90;1.1;465;5;0.035
23;90;1.2;453.5;5;0.06
23;90;1.3;442.6;5;0.085
23;90;1.4;432.4;5;0.108
23;90;1.5;423.1;5;0.128
23;90;1.6;414.6;5;0.145
23;90;1.7;406.8;3.852;0.159
23;90;1.8;399.7;2.61;0.172
23;90;1.9;393;1.817;0.182
23;90;2;386.9;1.297;0.192
23;90;2.1;381.2;0.946;0.199
23;90;2.2;375.9;0.704;0.206
23;90;2.3;370.9;0.533;0.212
23;90;2.4;366.2;0.411;0.218
23;90;2.5;361.7;0.321;0.222
23;90;3;342.7;0.111;0.24
23;90;4;315;0.024;0.258
23;90;5;295.2;0.008;0.268
23;90;10;242.7;0;0.283
23;100;0;566;5;0.01
23;100;0.1;565.5;5;0.01
23;100;0.2;563.9;5;0.01
23;100;0.3;561;5;0.01
23;100;0.4;556.7;5;0.01
23;100;0.5;551.1;5;0.01
23;100;0.6;544.3;5;0.01
23;100;0.7;536.3;5;0.01
23;100;0.8;527.3;5;0.01
23;100;0.9;517.5;5;0.01
23;100;1;506.5;5;0.01
23;100;1.1;494;5;0.014
23;100;1.2;480.4;5;0.035
23;100;1.3;467;5;0.06
23;100;1.4;454.3;5;0.085
23;100;1.5;442.7;5;0.108
23;100;1.6;432.2;5;0.128
23;100;1.7;422.7;5;0.145
23;100;1.8;414.1;3.852;0.159
23;100;1.9;406.3;2.61;0.172
23;100;2;399.1;1.817;0.182
23;100;2.1;392.5;1.297;0.192
23;100;2.2;386.4;0.946;0.199
23;100;2.3;380.7;0.704;0.206
23;100;2.4;375.3;0.533;0.212
23;100;2.5;370.4;0.411;0.218
23;100;3;349.4;0.135;0.237
23;100;4;319.7;0.027;0.257
23;100;5;298.9;0.009;0.267
23;100;10;244.8;0;0.283
24;10;0;48;5;0.01
24;10;0.1;47.5;5;0.01
24;10;0.2;46.7;5;0.013
24;10;0.3;45.9;3.575;0.021
24;10;0.4;45.2;1.846;0.029
24;10;0.5;44.6;1.305;0.04
24;10;0.6;44.1;1.05;0.053
24;10;0.7;43.6;0.878;0.063
24;10;0.8;43.2;0.753;0.074
24;10;0.9;42.8;0.656;0.084
24;10;1;42.4;0.579;0.095
24;10;1.1;42.1;0.515;0.104
24;10;1.2;41.8;0.462;0.113
24;10;1.3;41.5;0.417;0.121
24;10;1.4;41.2;0.377;0.13
24;10;1.5;40.9;0.343;0.138
24;10;1.6;40.7;0.314;0.145
24;10;1.7;40.5;0.287;0.152
24;10;1.8;40.3;0.264;0.159
24;10;1.9;40.1;0.242;0.165
24;10;2;39.9;0.223;0.171
24;10;2.1;39.7;0.207;0.176
24;10;2.2;39.5;0.191;0.182
24;10;2.3;39.3;0.178;0.187
24;10;2.4;39.2;0.165;0.192
24;10;2.5;39;0.153;0.197
24;10;3;38.3;0.109;0.217
24;10;4;37.2;0.06;0.25
24;10;5;36.4;0.035;0.274
24;10;10;33.9;0.002;0.34
24;20;0;96;5;0.01
24;20;0.1;95.5;5;0.01
24;20;0.2;94.1;5;0.01
24;20;0.3;92.5;5;0.014
24;20;0.4;91.1;3.476;0.023
24;20;0.5;89.8;2.221;0.034
24;20;0.6;88.7;1.719;0.047
24;20;0.7;87.7;1.399;0.058
24;20;0.8;86.8;1.172;0.069
24;20;0.9;85.9;1;0.081
24;20;1;85.2;0.865;0.091
24;20;1.1;84.5;0.756;0.101
24;20;1.2;83.8;0.666;0.11
24;20;1.3;83.2;0.591;0.119
24;20;1.4;82.7;0.527;0.128
24;20;1.5;82.1;0.472;0.135
24;20;1.6;81.7;0.425;0.143
24;20;1.7;81.2;0.384;0.15
24;20;1.8;80.7;0.348;0.157
24;20;1.9;80.3;0.317;0.163
24;20;2;79.9;0.289;0.169
24;20;2.1;79.6;0.264;0.175
24;20;2.2;79.2;0.242;0.18
24;20;2.3;78.9;0.222;0.185
24;20;2.4;78.5;0.205;0.19
24;20;2.5;78.2;0.189;0.195
24;20;3;76.8;0.13;0.216
24;20;4;74.6;0.069;0.249
24;20;5;72.9;0.039;0.273
24;20;10;67.8;0.002;0.34
24;30;0;144;5;0.01
24;30;0.1;143.5;5;0.01
24;30;0.2;142.1;5;0.01
24;30;0.3;140;5;0.01
24;30;0.4;137.8;5;0.015
24;30;0.5;135.7;5;0.027
24;30;0.6;133.9;4.004;0.04
24;30;0.7;132.3;3.012;0.053
24;30;0.8;130.8;2.358;0.065
24;30;0.9;129.5;1.896;0.076
24;30;1;128.3;1.555;0.087
24;30;1.1;127.2;1.296;0.097
24;30;1.2;126.2;1.094;0.107
24;30;1.3;125.3;0.935;0.116
24;30;1.4;124.4;0.806;0.125
24;30;1.5;123.6;0.701;0.133
24;30;1.6;122.9;0.614;0.14
24;30;1.7;122.1;0.542;0.147
24;30;1.8;121.5;0.481;0.154
24;30;1.9;120.8;0.429;0.161
24;30;2;120.2;0.385;0.167
24;30;2.1;119.6;0.346;0.173
24;30;2.2;119.1;0.313;0.178
24;30;2.3;118.5;0.284;0.183
24;30;2.4;118;0.259;0.189
24;30;2.5;117.5;0.237;0.193
24;30;3;115.4;0.157;0.215
24;30;4;112;0.079;0.248
24;30;5;109.4;0.044;0.272
24;30;10;101.8;0.003;0.339
24;40;0;202.4;5;0.01
24;40;0.1;201.9;5;0.01
24;40;0.2;200.5;5;0.01
24;40;0.3;198.4;5;0.01
24;40;0.4;195.6;5;0.01
24;40;0.5;192.7;5;0.017
24;40;0.6;189.8;5;0.03
24;40;0.7;187.2;5;0.043
24;40;0.8;184.8;4.573;0.056
24;40;0.9;182.6;3.292;0.068
24;40;1;180.6;2.492;0.08
24;40;1.1;178.8;1.956;0.09
24;40;1.2;177.1;1.576;0.1
24;40;1.3;175.5;1.298;0.11
24;40;1.4;174;1.086;0.119
24;40;1.5;172.6;0.921;0.127
24;40;1.6;171.3;0.791;0.135
24;40;1.7;170.1;0.685;0.143
24;40;1.8;168.9;0.599;0.15
24;40;1.9;167.8;0.528;0.156
24;40;2;166.8;0.468;0.163
24;40;2.1;165.8;0.417;0.169
24;40;2.2;164.8;0.374;0.174
24;40;2.3;163.9;0.337;0.18
24;40;2.4;163.1;0.304;0.185
24;40;2.5;162.2;0.276;0.19
24;40;3;158.6;0.178;0.212
24;40;4;152.9;0.087;0.246
24;40;5;148.6;0.048;0.271
24;40;10;136.2;0.003;0.339
24;50;0;271.2;5;0.01
24;50;0.1;270.7;5;0.01
24;50;0.2;269.3;5;0.01
24;50;0.3;267.2;5;0.01
24;50;0.4;264.4;5;0.01
24;50;0.5;260.9;5;0.01
24;50;0.6;256.9;5;0.017
24;50;0.7;253;5;0.03
24;50;0.8;249.3;5;0.043
24;50;0.9;245.9;4.573;0.056
24;50;1;242.6;3.292;0.068
24;50;1.1;239.6;2.492;0.08
24;50;1.2;236.8;1.956;0.09
24;50;1.3;234.2;1.576;0.1
24;50;1.4;231.8;1.298;0.11
24;50;1.5;229.5;1.086;0.119
24;50;1.6;227.4;0.921;0.127
24;50;1.7;225.3;0.791;0.135
24;50;1.8;223.4;0.685;0.143
24;50;1.9;221.6;0.599;0.15
24;50;2;219.9;0.528;0.156
24;50;2.1;218.3;0.468;0.163
24;50;2.2;216.8;0.417;0.169
24;50;2.3;215.3;0.374;0.174
24;50;2.4;213.9;0.337;0.18
24;50;2.5;212.5;0.304;0.185
24;50;3;206.6;0.193;0.208
24;50;4;197.4;0.093;0.243
24;50;5;190.5;0.051;0.269
24;50;10;171.1;0.003;0.338
24;60;0;340;5;0.01
24;60;0.1;339.5;5;0.01
24;60;0.2;338.1;5;0.01
24;60;0.3;336;5;0.01
24;60;0.4;333.2;5;0.01
24;60;0.5;329.7;5;0.01
24;60;0.6;325.2;5;0.01
24;60;0.7;320.1;5;0.017
24;60;0.8;315.1;5;0.03
24;60;0.9;310.3;5;0.043
24;60;1;305.8;4.573;0.056
24;60;1.1;301.6;3.292;0.068
24;60;1.2;297.7;2.492;0.08
24;60;1.3;294;1.956;0.09
24;60;1.4;290.6;1.576;0.1
24;60;1.5;287.3;1.298;0.11
24;60;1.6;284.3;1.086;0.119
24;60;1.7;281.4;0.921;0.127
24;60;1.8;278.7;0.791;0.135
24;60;1.9;276.2;0.685;0.143
24;60;2;273.8;0.599;0.15
24;60;2.1;271.5;0.528;0.156
24;60;2.2;269.3;0.468;0.163
24;60;2.3;267.2;0.417;0.169
24;60;2.4;265.2;0.374;0.174
24;60;2.5;263.3;0.337;0.18
24;60;3;255;0.211;0.204
24;60;4;242.2;0.099;0.24
24;60;5;232.7;0.054;0.266
24;60;10;206.1;0.004;0.337
24;70;0;408.8;5;0.01
24;70;0.1;408.3;5;0.01
24;70;0.2;406.9;5;0.01
24;70;0.3;404.8;5;0.01
24;70;0.4;402;5;0.01
24;70;0.5;398.5;5;0.01
24;70;0.6;394;5;0.01
24;70;0.7;388.4;5;0.01
24;70;0.8;382.2;5;0.017
24;70;0.9;376.1;5;0.03
24;70;1;370.3;5;0.043
24;70;1.1;364.8;4.573;0.056
24;70;1.2;359.7;3.292;0.068
24;70;1.3;354.8;2.492;0.08
24;70;1.4;350.3;1.956;0.09
24;70;1.5;346.1;1.576;0.1
24;70;1.6;342.1;1.298;0.11
24;70;1.7;338.3;1.086;0.119
24;70;1.8;334.8;0.921;0.127
24;70;1.9;331.5;0.791;0.135
24;70;2;328.3;0.685;0.143
24;70;2.1;325.3;0.599;0.15
24;70;2.2;322.4;0.528;0.156
24;70;2.3;319.7;0.468;0.163
24;70;2.4;317.1;0.417;0.169
24;70;2.5;314.7;0.374;0.174
24;70;3;303.8;0.23;0.199
24;70;4;287.3;0.106;0.237
24;70;5;275.1;0.057;0.264
24;70;10;241.2;0.004;0.336
24;80;0;477.6;5;0.01
24;80;0.1;477.1;5;0.01
24;80;0.2;475.7;5;0.01
24;80;0.3;473.6;5;0.01
24;80;0.4;470.8;5;0.01
24;80;0.5;467.3;5;0.01
24;80;0.6;462.8;5;0.01
24;80;0.7;457.2;5;0.01
24;80;0.8;450.5;5;0.01
24;80;0.9;443.2;5;0.017
24;80;1;436.1;5;0.03
24;80;1.1;429.3;5;0.043
24;80;1.2;422.9;4.573;0.056
24;80;1.3;416.8;3.292;0.068
24;80;1.4;411.2;2.492;0.08
24;80;1.5;405.8;1.956;0.09
24;80;1.6;400.8;1.576;0.1
24;80;1.7;396.1;1.298;0.11
24;80;1.8;391.7;1.086;0.119
24;80;1.9;387.5;0.921;0.127
24;80;2;383.6;0.791;0.135
24;80;2.1;379.8;0.685;0.143
24;80;2.2;376.3;0.599;0.15
24;80;2.3;372.9;0.528;0.156
24;80;2.4;369.7;0.468;0.163
24;80;2.5;366.6;0.417;0.169
24;80;3;353.1;0.251;0.195
24;80;4;332.7;0.114;0.234
24;80;5;317.8;0.06;0.262
24;80;10;276.4;0.004;0.335
24;90;0;546.4;5;0.01
24;90;0.1;545.9;5;0.01
24;90;0.2;544.5;5;0.01
24;90;0.3;542.4;5;0.01
24;90;0.4;539.6;5;0.01
24;90;0.5;536.1;5;0.01
24;90;0.6;531.6;5;0.01
24;90;0.7;526;5;0.01
